name,height,mass,skin_color,eye_color,birth_year,hair_color,sex,gender,species,homeworld,films,vehicles,starships
Dooku,193.0,80.0,fair,brown,102.0,white,male,masculine,Human,Serenno,"Attack of the Clones, Revenge of the Sith",Flitknot speeder,
Bail Prestor Organa,191.0,,tan,brown,67.0,black,male,masculine,Human,Alderaan,"Attack of the Clones, Revenge of the Sith",,
Jango Fett,183.0,79.0,tan,brown,66.0,black,male,masculine,Human,Concord Dawn,Attack of the Clones,,
Zam Wesell,168.0,55.0,"fair, green, yellow",yellow,,blonde,female,feminine,Clawdite,Zolan,Attack of the Clones,Koro-2 Exodrive airspeeder,
Dexter Jettster,198.0,102.0,brown,yellow,,none,male,masculine,Besalisk,Ojom,Attack of the Clones,,
Lama Su,229.0,88.0,grey,black,,none,male,masculine,Kaminoan,Kamino,Attack of the Clones,,"X-wing, Star Ave"
Taun We,213.0,,grey,black,,none,female,feminine,Kaminoan,Kamino,Attack of the Clones,,
Jocasta Nu,167.0,,fair,blue,,white,female,feminine,Human,Coruscant,Attack of the Clones,,
R4-P17,96.0,,"silver, red","red, blue",,none,none,feminine,Droid,,"Attack of the Clones, Revenge of the Sith",,
Wat Tambor,193.0,48.0,"green, grey",unknown,,none,male,masculine,Skakoan,Skako,Attack of the Clones,,
San Hill,191.0,,grey,gold,,none,male,masculine,Muun,Muunilinst,Attack of the Clones,,
Shaak Ti,178.0,57.0,"red, blue, white",black,,none,female,feminine,Togruta,Shili,"Attack of the Clones, Revenge of the Sith",,
Grievous,216.0,159.0,"brown, white","green, yellow",,none,male,masculine,Kaleesh,Kalee,Revenge of the Sith,Tsmeu-6 personal wheel bike,Belbullab-22 starfighter
Tarfful,234.0,136.0,brown,blue,,brown,male,masculine,Wookiee,Kashyyyk,Revenge of the Sith,,"Star Ave, Volt YT"
Raymus Antilles,188.0,79.0,light,brown,,brown,male,masculine,Human,Alderaan,"A New Hope, Revenge of the Sith",,
Sly Moore,178.0,48.0,pale,white,,none,,,,Umbara,"Attack of the Clones, Revenge of the Sith",,
Tion Medon,206.0,80.0,grey,black,,none,male,masculine,Pau'an,Utapau,Revenge of the Sith,,"Havoc, Sentinel"
Finn,,,dark,dark,,black,male,masculine,Human,,The Force Awakens,,
Rey,,,light,hazel,,brown,female,feminine,Human,,The Force Awakens,,"Kraber, R301"
Poe Dameron,,,light,brown,,brown,male,masculine,Human,,The Force Awakens,,X-wing
BB8,,,none,black,,none,none,masculine,Droid,,The Force Awakens,,
Captain Phasma,,,none,unknown,,none,female,feminine,Human,,The Force Awakens,,
Ben Quadinaros,163.0,65.0,"grey, green, yellow",orange,,none,male,masculine,Toong,Tund,The Phantom Menace,,
Mace Windu,188.0,84.0,dark,brown,72.0,none,male,masculine,Human,Haruun Kal,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Ki-Adi-Mundi,198.0,82.0,pale,yellow,92.0,white,male,masculine,Cerean,Cerea,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Kit Fisto,196.0,87.0,green,black,,none,male,masculine,Nautolan,Glee Anselm,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Eeth Koth,171.0,,brown,brown,,black,male,masculine,Zabrak,Iridonia,"The Phantom Menace, Revenge of the Sith",,
Adi Gallia,184.0,50.0,dark,blue,,none,female,feminine,Tholothian,Coruscant,"The Phantom Menace, Revenge of the Sith",,
Saesee Tiin,188.0,,pale,orange,,none,male,masculine,Iktotchi,Iktotch,"The Phantom Menace, Revenge of the Sith",,
Yarael Poof,264.0,,white,yellow,,none,male,masculine,Quermian,Quermia,The Phantom Menace,,
Plo Koon,188.0,80.0,orange,black,22.0,none,male,masculine,Kel Dor,Dorin,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,Jedi starfighter
Mas Amedda,196.0,,blue,blue,,none,male,masculine,Chagrian,Champala,"The Phantom Menace, Attack of the Clones",,
Gregar Typho,185.0,85.0,dark,brown,,black,,,,Naboo,Attack of the Clones,,Naboo fighter
Cordé,157.0,,light,brown,,brown,,,,Naboo,Attack of the Clones,,
Cliegg Lars,183.0,,fair,blue,82.0,brown,male,masculine,Human,Tatooine,Attack of the Clones,,
Poggle the Lesser,183.0,80.0,green,yellow,,none,male,masculine,Geonosian,Geonosis,"Attack of the Clones, Revenge of the Sith",,
Luminara Unduli,170.0,56.2,yellow,blue,58.0,black,female,feminine,Mirialan,Mirial,"Attack of the Clones, Revenge of the Sith",,
Barriss Offee,166.0,50.0,yellow,blue,40.0,black,female,feminine,Mirialan,Mirial,Attack of the Clones,,
Dormé,165.0,,light,brown,,brown,female,feminine,Human,Naboo,Attack of the Clones,,
Jocasta Nu,167.0,,fair,blue,,white,female,feminine,Human,Coruscant,Attack of the Clones,,
R4-P17,96.0,,"silver, red","red, blue",,none,none,feminine,Droid,,"Attack of the Clones, Revenge of the Sith",,
Wat Tambor,193.0,48.0,"green, grey",unknown,,none,male,masculine,Skakoan,Skako,Attack of the Clones,,
San Hill,191.0,,grey,gold,,none,male,masculine,Muun,Muunilinst,Attack of the Clones,,
Shaak Ti,178.0,57.0,"red, blue, white",black,,none,female,feminine,Togruta,Shili,"Attack of the Clones, Revenge of the Sith",,
Grievous,216.0,159.0,"brown, white","green, yellow",,none,male,masculine,Kaleesh,Kalee,Revenge of the Sith,Tsmeu-6 personal wheel bike,Belbullab-22 starfighter
Mace Windu,188.0,84.0,dark,brown,72.0,none,male,masculine,Human,Haruun Kal,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Ki-Adi-Mundi,198.0,82.0,pale,yellow,92.0,white,male,masculine,Cerean,Cerea,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Kit Fisto,196.0,87.0,green,black,,none,male,masculine,Nautolan,Glee Anselm,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Mace Windu,188.0,84.0,dark,brown,72.0,none,male,masculine,Human,Haruun Kal,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Ki-Adi-Mundi,198.0,82.0,pale,yellow,92.0,white,male,masculine,Cerean,Cerea,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
Kit Fisto,196.0,87.0,green,black,,none,male,masculine,Nautolan,Glee Anselm,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",,
